Jahr,Bundesland,Einwohner
2002,ÖSTERREICH,8063640
2003,ÖSTERREICH,8100273
2004,ÖSTERREICH,8142573
2005,ÖSTERREICH,8201359
2006,ÖSTERREICH,8254298
2007,ÖSTERREICH,8282984
2008,ÖSTERREICH,8307989
2009,ÖSTERREICH,8335003
2010,ÖSTERREICH,8351643
2011,ÖSTERREICH,8375164
2012,ÖSTERREICH,8408121
2013,ÖSTERREICH,8451860
2014,ÖSTERREICH,8507786
2015,ÖSTERREICH,8584926
2016,ÖSTERREICH,8700471
2017,ÖSTERREICH,8772865
2018,ÖSTERREICH,8822267
2019,ÖSTERREICH,8858775
2020,ÖSTERREICH,8901064
2021,ÖSTERREICH,8932664
2022,ÖSTERREICH,8978929
2002,Burgenland,276673
2003,Burgenland,276542
2004,Burgenland,276792
2005,Burgenland,278032
2006,Burgenland,279127
2007,Burgenland,280062
2008,Burgenland,280977
2009,Burgenland,282777
2010,Burgenland,283697
2011,Burgenland,284581
2012,Burgenland,285782
2013,Burgenland,286691
2014,Burgenland,287416
2015,Burgenland,288356
2016,Burgenland,291011
2017,Burgenland,291942
2018,Burgenland,292675
2019,Burgenland,293433
2020,Burgenland,294436
2021,Burgenland,296010
2022,Burgenland,297583
2002,Kärnten,559933
2003,Kärnten,558623
2004,Kärnten,558026
2005,Kärnten,558926
2006,Kärnten,559277
2007,Kärnten,559393
2008,Kärnten,559715
2009,Kärnten,559462
2010,Kärnten,557998
2011,Kärnten,556718
2012,Kärnten,556027
2013,Kärnten,555473
2014,Kärnten,555881
2015,Kärnten,557641
2016,Kärnten,560482
2017,Kärnten,561077
2018,Kärnten,560898
2019,Kärnten,560939
2020,Kärnten,561293
2021,Kärnten,562089
2022,Kärnten,564513
2002,Niederösterreich,1544667
2003,Niederösterreich,1549269
2004,Niederösterreich,1557291
2005,Niederösterreich,1568949
2006,Niederösterreich,1580501
2007,Niederösterreich,1588567
2008,Niederösterreich,1595503
2009,Niederösterreich,1602958
2010,Niederösterreich,1605897
2011,Niederösterreich,1609474
2012,Niederösterreich,1614455
2013,Niederösterreich,1618592
2014,Niederösterreich,1625485
2015,Niederösterreich,1636778
2016,Niederösterreich,1653691
2017,Niederösterreich,1665753
2018,Niederösterreich,1670668
2019,Niederösterreich,1677542
2020,Niederösterreich,1684287
2021,Niederösterreich,1690879
2022,Niederösterreich,1698796
2002,Oberösterreich,1377802
2003,Oberösterreich,1382532
2004,Oberösterreich,1387488
2005,Oberösterreich,1394726
2006,Oberösterreich,1400287
2007,Oberösterreich,1403663
2008,Oberösterreich,1405762
2009,Oberösterreich,1408619
2010,Oberösterreich,1409253
2011,Oberösterreich,1410222
2012,Oberösterreich,1413866
2013,Oberösterreich,1418498
2014,Oberösterreich,1425422
2015,Oberösterreich,1437251
2016,Oberösterreich,1453948
2017,Oberösterreich,1465045
2018,Oberösterreich,1473576
2019,Oberösterreich,1482095
2020,Oberösterreich,1490279
2021,Oberösterreich,1495608
2022,Oberösterreich,1505140
2002,Salzburg,517050
2003,Salzburg,517084
2004,Salzburg,519691
2005,Salzburg,522369
2006,Salzburg,524920
2007,Salzburg,526048
2008,Salzburg,525944
2009,Salzburg,526699
2010,Salzburg,526730
2011,Salzburg,527886
2012,Salzburg,529704
2013,Salzburg,531898
2014,Salzburg,534270
2015,Salzburg,538575
2016,Salzburg,545815
2017,Salzburg,549263
2018,Salzburg,552579
2019,Salzburg,555221
2020,Salzburg,558410
2021,Salzburg,560710
2022,Salzburg,562606
2002,Steiermark,1188117
2003,Steiermark,1189315
2004,Steiermark,1192168
2005,Steiermark,1196780
2006,Steiermark,1200854
2007,Steiermark,1202483
2008,Steiermark,1203701
2009,Steiermark,1204795
2010,Steiermark,1205045
2011,Steiermark,1206611
2012,Steiermark,1208696
2013,Steiermark,1210971
2014,Steiermark,1215246
2015,Steiermark,1221570
2016,Steiermark,1232012
2017,Steiermark,1237298
2018,Steiermark,1240214
2019,Steiermark,1243052
2020,Steiermark,1246395
2021,Steiermark,1247077
2022,Steiermark,1252922
2002,Tirol,675701
2003,Tirol,679457
2004,Tirol,683639
2005,Tirol,688954
2006,Tirol,694253
2007,Tirol,697253
2008,Tirol,699588
2009,Tirol,702502
2010,Tirol,704662
2011,Tirol,707517
2012,Tirol,711581
2013,Tirol,715888
2014,Tirol,722038
2015,Tirol,728826
2016,Tirol,739139
2017,Tirol,746153
2018,Tirol,751140
2019,Tirol,754705
2020,Tirol,757634
2021,Tirol,760105
2022,Tirol,764102
2002,Vorarlberg,352574
2003,Vorarlberg,354605
2004,Vorarlberg,357068
2005,Vorarlberg,360054
2006,Vorarlberg,362630
2007,Vorarlberg,364269
2008,Vorarlberg,365578
2009,Vorarlberg,367056
2010,Vorarlberg,368366
2011,Vorarlberg,369300
2012,Vorarlberg,370926
2013,Vorarlberg,372603
2014,Vorarlberg,375282
2015,Vorarlberg,378592
2016,Vorarlberg,384147
2017,Vorarlberg,388752
2018,Vorarlberg,391741
2019,Vorarlberg,394297
2020,Vorarlberg,397139
2021,Vorarlberg,399237
2022,Vorarlberg,401674
2002,Wien,1571123
2003,Wien,1592846
2004,Wien,1610410
2005,Wien,1632569
2006,Wien,1652449
2007,Wien,1661246
2008,Wien,1671221
2009,Wien,1680135
2010,Wien,1689995
2011,Wien,1702855
2012,Wien,1717084
2013,Wien,1741246
2014,Wien,1766746
2015,Wien,1797337
2016,Wien,1840226
2017,Wien,1867582
2018,Wien,1888776
2019,Wien,1897491
2020,Wien,1911191
2021,Wien,1920949
2022,Wien,1931593
