year,xnuts2.label,wrecht.miete,werr.label,quali,price.m2.n,price.m2.v,price.m2.w
1974,Burgenland,NA,1918 und davor,A,5,0.622112713,32.943375
1974,Burgenland,NA,1918 und davor,B,11,0.833824773,73.648875
1974,Burgenland,NA,1918 und davor,C,6,0.272892723,40.09665
1974,Burgenland,NA,1918 und davor,D,67,0.395642624,445.53935
1974,Burgenland,NA,1918 und davor,NA,250,0.444639748,1675.108725
1974,Burgenland,NA,1919 - 1944,A,7,0.771067343,45.838875
1974,Burgenland,NA,1919 - 1944,B,21,0.546069184,140.58845
1974,Burgenland,NA,1919 - 1944,C,11,0.380412371,75.520575
1974,Burgenland,NA,1919 - 1944,D,17,0.426426854,111.7422
1974,Burgenland,NA,1919 - 1944,NA,150,0.516810429,1018.5837
1974,Burgenland,NA,1945 - 1960,A,3,0.34313179,18.830075
1974,Burgenland,NA,1945 - 1960,B,19,0.648834686,124.18305
1974,Burgenland,NA,1945 - 1960,C,3,0.923118203,20.161875
1974,Burgenland,NA,1945 - 1960,D,5,0.489142762,32.514825
1974,Burgenland,NA,1945 - 1960,NA,69,0.635347715,457.63905
1974,Burgenland,NA,1961 - 1970,A,21,1.105348021,139.111
1974,Burgenland,NA,1961 - 1970,B,22,0.754865013,145.536775
1974,Burgenland,NA,1961 - 1970,C,2,0.575841727,12.578025
1974,Burgenland,NA,1961 - 1970,NA,150,0.922634467,1008.48485
1974,Burgenland,NA,1971 - 1980,A,3,1.0915468,32.757525
1974,Burgenland,NA,1971 - 1980,B,3,1.014031667,32.757525
1974,Burgenland,NA,1971 - 1980,NA,16,1.211715457,212.872525
1974,Kärnten,NA,1918 und davor,A,12,1.02243701,164.274725
1974,Kärnten,NA,1918 und davor,B,38,0.618296929,534.247125
1974,Kärnten,NA,1918 und davor,C,29,0.514871086,401.738325
1974,Kärnten,NA,1918 und davor,D,135,0.596425052,1897.490225
1974,Kärnten,NA,1918 und davor,NA,635,0.65350374,8918.803675
1974,Kärnten,NA,1919 - 1944,A,11,0.482955204,149.522975
1974,Kärnten,NA,1919 - 1944,B,64,0.627934455,874.9181
1974,Kärnten,NA,1919 - 1944,C,40,0.62629339,549.344875
1974,Kärnten,NA,1919 - 1944,D,36,0.725969238,523.6282
1974,Kärnten,NA,1919 - 1944,NA,459,0.666159742,6516.812975
1974,Kärnten,NA,1945 - 1960,A,25,0.762826115,342.4056
1974,Kärnten,NA,1945 - 1960,B,134,0.644583869,1833.88065
1974,Kärnten,NA,1945 - 1960,C,22,0.631651959,303.104375
1974,Kärnten,NA,1945 - 1960,D,20,0.887497909,268.578725
1974,Kärnten,NA,1945 - 1960,NA,606,0.737644264,8445.234675
1974,Kärnten,NA,1961 - 1970,A,84,1.261861466,1192.59185
1974,Kärnten,NA,1961 - 1970,B,130,0.809373765,1777.6676
1974,Kärnten,NA,1961 - 1970,C,5,0.871824481,67.5824
