"","date","fuelType","nuts2","priceMean","n"
"1","2021-01-01","DIE","W",1.04029931972789,147
"2","2021-01-01","SUP","W",1.07844755244755,143
"3","2021-01-01","DIE","N",1.0216355475763,557
"4","2021-01-01","SUP","N",1.06837946428572,448
"5","2021-01-01","DIE","B",1.00970247933884,121
"6","2021-01-01","SUP","B",1.068,98
"7","2021-01-01","DIE","O",1.01590176322418,397
"8","2021-01-01","SUP","O",1.06765945945946,370
"9","2021-01-01","DIE","Sa",1.03476865671642,134
"10","2021-01-01","SUP","Sa",1.08905691056911,123
"11","2021-01-01","DIE","T",1.05604054054054,222
"12","2021-01-01","SUP","T",1.09804608294931,217
"13","2021-01-01","DIE","V",1.03835802469136,81
"14","2021-01-01","SUP","V",1.08087837837838,74
"15","2021-01-01","DIE","St",1.01102459016393,366
"16","2021-01-01","SUP","St",1.05395679012346,324
"17","2021-01-01","DIE","K",1.04315277777778,144
"18","2021-01-01","SUP","K",1.08745588235294,136
"19","2021-01-01","DIE",NA,1.02578054402951,2169
"20","2021-01-01","SUP",NA,1.07301655457838,1933
"21","2021-01-02","DIE","W",1.02897183098592,142
"22","2021-01-02","SUP","W",1.06891216216216,148
"23","2021-01-02","DIE","N",1.01709403254973,553
"24","2021-01-02","SUP","N",1.06237694013304,451
"25","2021-01-02","DIE","B",1.007425,120
"26","2021-01-02","SUP","B",1.0649595959596,99
"27","2021-01-02","DIE","O",1.01077804878049,410
"28","2021-01-02","SUP","O",1.06248930481284,374
"29","2021-01-02","DIE","Sa",1.02668421052632,133
"30","2021-01-02","SUP","Sa",1.07286821705426,129
"31","2021-01-02","DIE","T",1.0511179245283,212
"32","2021-01-02","SUP","T",1.09063861386139,202
"33","2021-01-02","DIE","V",1.0272375,80
"34","2021-01-02","SUP","V",1.06566666666667,75
"35","2021-01-02","DIE","St",1.00829526462395,359
"36","2021-01-02","SUP","St",1.05167084639498,319
"37","2021-01-02","DIE","K",1.03786,150
"38","2021-01-02","SUP","K",1.07528671328671,143
"39","2021-01-02","DIE",NA,1.02042566002779,2159
"40","2021-01-02","SUP",NA,1.06598762886598,1940
"41","2021-01-03","DIE","W",1.02738194444444,144
"42","2021-01-03","SUP","W",1.06759731543624,149
"43","2021-01-03","DIE","N",1.01485792349727,549
"44","2021-01-03","SUP","N",1.05921460176991,452
"45","2021-01-03","DIE","B",1.0056724137931,116
"46","2021-01-03","SUP","B",1.06322448979592,98
"47","2021-01-03","DIE","O",1.00835802469136,405
"48","2021-01-03","SUP","O",1.05985828877005,374
"49","2021-01-03","DIE","Sa",1.02155303030303,132
"50","2021-01-03","SUP","Sa",1.0644435483871,124
"51","2021-01-03","DIE","T",1.04897663551402,214
"52","2021-01-03","SUP","T",1.0839854368932,206
"53","2021-01-03","DIE","V",1.02113924050633,79
"54","2021-01-03","SUP","V",1.06,78
"55","2021-01-03","DIE","St",1.00783197831978,369
"56","2021-01-03","SUP","St",1.04930124223602,322
"57","2021-01-03","DIE","K",1.03405442176871,147
"58","2021-01-03","SUP","K",1.07217605633803,142
"59","2021-01-03","DIE",NA,1.01811368909513,2155
"60","2021-01-03","SUP",NA,1.06247609254499,1945
"61","2021-01-04","DIE","W",1.01856849315068,146
"62","2021-01-04","SUP","W",1.05884105960265,151
"63","2021-01-04","DIE","N",1.0109982078853,558
"64","2021-01-04","SUP","N",1.05427192982456,456
"65","2021-01-04","DIE","B",1.00388888888889,117
"66","2021-01-04","SUP","B",1.06023232323232,99
"67","2021-01-04","DIE","O",1.00492753623189,414
"68","2021-01-04","SUP","O",1.05453887399464,373
"69","2021-01-04","DIE","Sa",1.01341353383459,133
"70","2021-01-04","SUP","Sa",1.05614634146341,123
"71","2021-01-04","DIE","T",1.04503181818182,220
"72","2021-01-04","SUP","T",1.07866666666667,210
"73","2021-01-04","DIE","V",1.01357142857143,77
"74","2021-01-04","SUP","V",1.05105263157895,76
"75","2021-01-04","DIE","St",1.00659523809524,378
"76","2021-01-04","SUP","St",1.04668,325
"77","2021-01-04","DIE","K",1.02919310344828,145
"78","2021-01-04","SUP","K",1.06486861313869,137
"79","2021-01-04","DIE",NA,1.01407906764168,2188
"80","2021-01-04","SUP",NA,1.05707846153846,1950
"81","2021-01-05","DIE","W",1.04242666666667,150
"82","2021-01-05","SUP","W",1.07825174825175,143
"83","2021-01-05","DIE","N",1.02092014519056,551
"84","2021-01-05","SUP","N",1.06425991189427,454
"85","2021-01-05","DIE","B",1.01231404958678,121
"86","2021-01-05","SUP","B",1.06786734693878,98
"87","2021-01-05","DIE","O",1.01798518518519,405
"88","2021-01-05","SUP","O",1.06812054794521,365
"89","2021-01-05","DIE","Sa",1.02871323529412,136
"90","2021-01-05","SUP","Sa",1.07767441860465,129
"91","2021-01-05","DIE","T",1.05743181818182,220
"92","2021-01-05","SUP","T",1.09472248803828,209
"93","2021-01-05","DIE","V",1.03086075949367,79
"94","2021-01-05","SUP","V",1.07091025641026,78
"95","2021-01-05","DIE","St",1.01265873015873,378
"96","2021-01-05","SUP","St",1.05824770642202,327
"97","2021-01-05","DIE","K",1.03869387755102,147
"98","2021-01-05","SUP","K",1.08453741496599,147
"99","2021-01-05","DIE",NA,1.02565889346136,2187
"100","2021-01-05","SUP",NA,1.07112871794872,1950
"101","2021-01-06","DIE","W",1.05958108108108,148
"102","2021-01-06","SUP","W",1.09674305555556,144
"103","2021-01-06","DIE","N",1.03012784588441,571
"104","2021-01-06","SUP","N",1.07571428571429,455
"105","2021-01-06","DIE","B",1.01512195121951,123
"106","2021-01-06","SUP","B",1.07105376344086,93
"107","2021-01-06","DIE","O",1.02647103274559,397
"108","2021-01-06","SUP","O",1.07730727762803,371
"109","2021-01-06","DIE","Sa",1.03597857142857,140
"110","2021-01-06","SUP","Sa",1.08490551181102,127
"111","2021-01-06","DIE","T",1.06421226415094,212
"112","2021-01-06","SUP","T",1.10440975609756,205
"113","2021-01-06","DIE","V",1.04824096385542,83
"114","2021-01-06","SUP","V",1.08794666666667,75
"115","2021-01-06","DIE","St",1.01666575342466,365
"116","2021-01-06","SUP","St",1.06386419753086,324
"117","2021-01-06","DIE","K",1.04564539007092,141
"118","2021-01-06","SUP","K",1.09324460431655,139
"119","2021-01-06","DIE",NA,1.03374449541284,2180
"120","2021-01-06","SUP",NA,1.08075840662183,1933
"121","2021-01-07","DIE","W",1.04660273972603,146
"122","2021-01-07","SUP","W",1.07856643356643,143
"123","2021-01-07","DIE","N",1.02410507880911,571
"124","2021-01-07","SUP","N",1.06920607375271,461
"125","2021-01-07","DIE","B",1.011375,120
"126","2021-01-07","SUP","B",1.0671914893617,94
"127","2021-01-07","DIE","O",1.02005275779376,417
"128","2021-01-07","SUP","O",1.06987926509186,381
"129","2021-01-07","DIE","Sa",1.02748201438849,139
"130","2021-01-07","SUP","Sa",1.078640625,128
"131","2021-01-07","DIE","T",1.05621559633028,218
"132","2021-01-07","SUP","T",1.09478571428571,210
"133","2021-01-07","DIE","V",1.0257875,80
"134","2021-01-07","SUP","V",1.06674647887324,71
"135","2021-01-07","DIE","St",1.01179840848806,377
"136","2021-01-07","SUP","St",1.05716717325228,329
"137","2021-01-07","DIE","K",1.03482068965517,145
"138","2021-01-07","SUP","K",1.0822275862069,145
"139","2021-01-07","DIE",NA,1.02617713511071,2213
"140","2021-01-07","SUP",NA,1.07213047910296,1962
"141","2021-01-08","DIE","W",1.0529219858156,141
"142","2021-01-08","SUP","W",1.09176470588235,136
"143","2021-01-08","DIE","N",1.03043267504488,557
"144","2021-01-08","SUP","N",1.0778043956044,455
"145","2021-01-08","DIE","B",1.01459836065574,122
"146","2021-01-08","SUP","B",1.07129896907217,97
"147","2021-01-08","DIE","O",1.02538701923077,416
"148","2021-01-08","SUP","O",1.07204485488127,379
"149","2021-01-08","DIE","Sa",1.04405517241379,145
"150","2021-01-08","SUP","Sa",1.0943125,128
"151","2021-01-08","DIE","T",1.06031018518518,216
"152","2021-01-08","SUP","T",1.10010426540284,211
"153","2021-01-08","DIE","V",1.04174390243902,82
"154","2021-01-08","SUP","V",1.08425333333333,75
"155","2021-01-08","DIE","St",1.01497319034853,373
"156","2021-01-08","SUP","St",1.06150769230769,325
"157","2021-01-08","DIE","K",1.04887050359712,139
"158","2021-01-08","SUP","K",1.09647101449275,138
"159","2021-01-08","DIE",NA,1.0328484710178,2191
"160","2021-01-08","SUP",NA,1.07969032921811,1944
"161","2021-01-09","DIE","W",1.07099324324324,148
"162","2021-01-09","SUP","W",1.11085430463576,151
"163","2021-01-09","DIE","N",1.04003362831858,565
"164","2021-01-09","SUP","N",1.08535159817352,438
"165","2021-01-09","DIE","B",1.01762295081967,122
"166","2021-01-09","SUP","B",1.0746,100
"167","2021-01-09","DIE","O",1.03128641975309,405
"168","2021-01-09","SUP","O",1.08248648648649,370
"169","2021-01-09","DIE","Sa",1.05154109589041,146
"170","2021-01-09","SUP","Sa",1.10362307692308,130
"171","2021-01-09","DIE","T",1.07142986425339,221
"172","2021-01-09","SUP","T",1.10984285714286,210
"173","2021-01-09","DIE","V",1.05161445783132,83
"174","2021-01-09","SUP","V",1.09372222222222,72
"175","2021-01-09","DIE","St",1.02056318681319,364
"176","2021-01-09","SUP","St",1.06661230769231,325
"177","2021-01-09","DIE","K",1.0581958041958,143
"178","2021-01-09","SUP","K",1.10655,140
"179","2021-01-09","DIE",NA,1.04157897132453,2197
"180","2021-01-09","SUP",NA,1.08881973140496,1936
"181","2021-01-10","DIE","W",1.05704761904762,147
"182","2021-01-10","SUP","W",1.09977852348993,149
"183","2021-01-10","DIE","N",1.03410424028268,566
"184","2021-01-10","SUP","N",1.07655377574371,437
"185","2021-01-10","DIE","B",1.01490909090909,121
"186","2021-01-10","SUP","B",1.06893,100
"187","2021-01-10","DIE","O",1.02363184079602,402
"188","2021-01-10","SUP","O",1.07455702917772,377
"189","2021-01-10","DIE","Sa",1.04423404255319,141
"190","2021-01-10","SUP","Sa",1.0951,130
"191","2021-01-10","DIE","T",1.06201793721973,223
"192","2021-01-10","SUP","T",1.0977429906542,214
"193","2021-01-10","DIE","V",1.03379487179487,78
"194","2021-01-10","SUP","V",1.07171428571429,70
"195","2021-01-10","DIE","St",1.01638605898123,373
"196","2021-01-10","SUP","St",1.06186111111111,324
"197","2021-01-10","DIE","K",1.04704929577465,142
"198","2021-01-10","SUP","K",1.09141353383459,133
"199","2021-01-10","DIE",NA,1.0339667122663,2193
"200","2021-01-10","SUP",NA,1.07953619441572,1934
"201","2021-01-11","DIE","W",1.04302054794521,146
"202","2021-01-11","SUP","W",1.08073103448276,145
"203","2021-01-11","DIE","N",1.02897894736842,570
"204","2021-01-11","SUP","N",1.07106334841629,442
"205","2021-01-11","DIE","B",1.01063934426229,122
"206","2021-01-11","SUP","B",1.0648969072165,97
"207","2021-01-11","DIE","O",1.01989215686275,408
"208","2021-01-11","SUP","O",1.06921081081081,370
"209","2021-01-11","DIE","Sa",1.03633561643836,146
"210","2021-01-11","SUP","Sa",1.0864375,128
"211","2021-01-11","DIE","T",1.05561860465116,215
"212","2021-01-11","SUP","T",1.08707142857143,210
"213","2021-01-11","DIE","V",1.024,79
"214","2021-01-11","SUP","V",1.06261971830986,71
"215","2021-01-11","DIE","St",1.01401837270341,381
"216","2021-01-11","SUP","St",1.058653125,320
"217","2021-01-11","DIE","K",1.04211971830986,142
"218","2021-01-11","SUP","K",1.08430434782609,138
"219","2021-01-11","DIE",NA,1.0283811679493,2209
"220","2021-01-11","SUP",NA,1.0724711087975,1921
"221","2021-01-12","DIE","W",1.06760784313725,153
"222","2021-01-12","SUP","W",1.10465034965035,143
"223","2021-01-12","DIE","N",1.04060777385159,566
"224","2021-01-12","SUP","N",1.08583705357143,448
"225","2021-01-12","DIE","B",1.01827731092437,119
"226","2021-01-12","SUP","B",1.07412,100
"227","2021-01-12","DIE","O",1.03271289537713,411
"228","2021-01-12","SUP","O",1.08254545454545,385
"229","2021-01-12","DIE","Sa",1.05206666666667,150
"230","2021-01-12","SUP","Sa",1.10288148148148,135
"231","2021-01-12","DIE","T",1.06963133640553,217
"232","2021-01-12","SUP","T",1.10779523809524,210
"233","2021-01-12","DIE","V",1.04729113924051,79
"234","2021-01-12","SUP","V",1.08893055555555,72
"235","2021-01-12","DIE","St",1.0259065934066,364
"236","2021-01-12","SUP","St",1.07265060240964,332
"237","2021-01-12","DIE","K",1.06250354609929,141
"238","2021-01-12","SUP","K",1.11004109589041,146
"239","2021-01-12","DIE",NA,1.04265772727273,2200
"240","2021-01-12","SUP",NA,1.0891562658549,1971
"241","2021-01-13","DIE","W",1.07097163120567,141
"242","2021-01-13","SUP","W",1.12534013605442,147
