date,variable,value
2019-12-02,wwwi,0.083346
2019-12-09,wwwi,0.18249
2019-12-16,wwwi,0.19808
2019-12-23,wwwi,0.13055
2019-12-30,wwwi,0.089188
2020-01-06,wwwi,0.78903
2020-01-13,wwwi,0.072324
2020-01-20,wwwi,0.43084
2020-01-27,wwwi,0.64147
2020-02-03,wwwi,0.95423
2020-02-10,wwwi,1.5133
2020-02-17,wwwi,1.7844
2020-02-24,wwwi,1.4247
2020-03-02,wwwi,0.04632
2020-03-09,wwwi,-2.6909
2020-03-16,wwwi,-6.5678
2020-03-23,wwwi,-12.091
2020-03-30,wwwi,-14.307
2020-04-06,wwwi,-15.472
2020-04-13,wwwi,-18.237
2020-04-20,wwwi,-19.232
2020-04-27,wwwi,-18.659
2020-05-04,wwwi,-18.475
2020-05-11,wwwi,-16.169
2020-05-18,wwwi,-14.367
2020-05-25,wwwi,-12.993
2020-06-01,wwwi,-11.891
2020-06-08,wwwi,-11
2020-06-15,wwwi,-10.104
2020-06-22,wwwi,-9.0893
2020-06-29,wwwi,-8.1384
2020-07-06,wwwi,-7.1853
2020-07-13,wwwi,-6.1467
2020-07-20,wwwi,-5.4635
2020-07-27,wwwi,-5.1424
2020-08-03,wwwi,-5.1104
2020-08-10,wwwi,-5.1959
2020-08-17,wwwi,-5.1644
2020-08-24,wwwi,-4.8049
2020-08-31,wwwi,-4.1387
2020-09-07,wwwi,-3.2832
2020-09-14,wwwi,-2.7219
2020-09-21,wwwi,-2.6662
2020-09-28,wwwi,-3.0541
2020-10-05,wwwi,-3.6683
2020-10-12,wwwi,-4.2826
2020-10-19,wwwi,-4.7393
2020-10-26,wwwi,-5.1755
2020-11-02,wwwi,-5.7167
2020-11-09,wwwi,-6.5288
2020-11-16,wwwi,-5.6833
2020-11-23,wwwi,-6.1762
2020-11-30,wwwi,-5.5357
2020-12-07,wwwi,-5.3146
2020-12-14,wwwi,-3.5886
2020-12-21,wwwi,-3.9962
2020-12-28,wwwi,-6.7886
2021-01-04,wwwi,-13.66
2021-01-11,wwwi,-14.789
2021-01-18,wwwi,-15.083
2021-01-25,wwwi,-14.16
2021-02-01,wwwi,-12.155
2021-02-08,wwwi,-8.5943
2021-02-15,wwwi,-7.6845
2021-02-22,wwwi,-6.5891
2021-03-01,wwwi,-4.6073
2021-03-08,wwwi,-2.4491
2021-03-15,wwwi,8.4084
2021-03-22,wwwi,13.481
2021-03-29,wwwi,13.133
2021-04-05,wwwi,17.283
2021-04-12,wwwi,18.461
2021-04-19,wwwi,16.21
2021-04-26,wwwi,14.953
2021-05-03,wwwi,13.931
2021-05-10,wwwi,10.638
2021-05-17,wwwi,11.001
2021-05-24,wwwi,11.521
2021-05-31,wwwi,12.586
2021-06-07,wwwi,12.922
2021-06-14,wwwi,12.215
2021-06-21,wwwi,10.695
2021-06-28,wwwi,8.5088
2021-07-05,wwwi,5.9353
2021-07-12,wwwi,4.1947
2021-07-19,wwwi,3.4827
2021-07-26,wwwi,3.7806
2021-08-02,wwwi,4.7625
2021-08-09,wwwi,5.6688
2021-08-16,wwwi,6.3024
2021-08-23,wwwi,6.7432
2021-08-30,wwwi,6.9586
2021-09-06,wwwi,6.9284
2021-09-13,wwwi,6.4032
2021-09-20,wwwi,5.4266
2021-09-27,wwwi,4.1018
2021-10-04,wwwi,2.7626
2021-10-11,wwwi,2.2961
2021-10-18,wwwi,2.9505
2021-10-25,wwwi,4.7887
2021-11-01,wwwi,7.4259
2021-11-08,wwwi,9.4787
2021-11-15,wwwi,9.5913
2021-11-22,wwwi,7.4351
2021-11-29,wwwi,4.9321
2021-12-06,wwwi,3.2323
2021-12-13,wwwi,4.3588
2021-12-20,wwwi,8.4803
2021-12-27,wwwi,14.327
2022-01-03,wwwi,17.577
2022-01-10,wwwi,12.234
2022-01-17,wwwi,11.65
2022-01-24,wwwi,11.72
2022-01-31,wwwi,10.413
2022-02-07,wwwi,8.4415
2022-02-14,wwwi,7.6686
2022-02-21,wwwi,7.7437
2022-02-28,wwwi,7.9843
2022-03-07,wwwi,7.7359
2022-03-14,wwwi,7.1293
2022-03-21,wwwi,6.601
2022-03-28,wwwi,6.6516
2022-04-04,wwwi,7.3244
2022-04-11,wwwi,7.6533
2022-04-18,wwwi,7.8017
2022-04-25,wwwi,7.9471
2022-05-02,wwwi,8.1175
2022-05-09,wwwi,7.9691
2022-05-16,wwwi,6.8761
2022-05-23,wwwi,5.9757
2022-05-30,wwwi,5.3954
2022-06-06,wwwi,4.5292
2022-06-13,wwwi,4.3389
2022-06-20,wwwi,4.3662
2022-06-27,wwwi,4.4352
2019-12-02,wea,1.5272
2019-12-09,wea,1.5544
2019-12-16,wea,1.3998
2019-12-23,wea,1.2199
